Customer_ID,Product_ID,Transaction_ID,Frequency,Average_Order_Value,Most_Frequent_Category,Time_Between_Purchases,Region,Churn_Probability,T_Purchases,Launch_Date,Date,Season,Preferred_Purchase_Times,Retention_Strategy,Recency,Recency_Normalized,Frequency_Normalized,T_Purchases_Normalized,Segment,Cluster
CUST_9HOS83,PROD_IK97D1,TRANS_II1DZG,17,172.57,Electronics,45,South America,0.98,952.81,2020-03-14,2023-09-11,Winter,Afternoon,Loyalty Program,112,-0.6770559143775089,1.2747711147639693,-1.4236391566050337,At Risk,2
CUST_AJU17N,PROD_UNN7KP,TRANS_9HJF7I,10,64.89,Clothing,6,South America,0.66,5427.51,2022-10-15,2023-01-02,Spring,Afternoon,Discount,364,1.7047240110375792,0.008016745508289477,0.13805975114400648,At Risk,1
CUST_11XNYF,PROD_0XEW2W,TRANS_OT96OM,3,120.38,Sports,23,Asia,0.6,3994.8,2021-11-30,2023-04-06,Winter,Evening,Loyalty Program,270,0.8162822928271892,-1.2587376237473902,-0.361965198488623,At Risk,0
CUST_IGH8G3,PROD_3IIAJN,TRANS_45V00G,12,70.34,Clothing,5,North America,0.78,4880.01,2022-03-20,2023-03-23,Spring,Evening,Discount,284,0.9486033997946942,0.36994656529562653,-0.05302124914486192,At Risk,0
CUST_OK6PUM,PROD_VMIWD2,TRANS_ZAK760,18,42.39,Electronics,10,North America,0.52,8557.7,2022-11-09,2023-10-28,Spring,Morning,Discount,65,-1.1212767734827038,1.4557360246576379,1.2305160731425693,Top Customer,2
CUST_63F5GB,PROD_L0NAD5,TRANS_HI4MBV,12,132.9,Electronics,42,Europe,0.25,8215.33,2020-12-26,2023-12-09,Winter,Evening,Loyalty Program,23,-1.5182400943852186,0.36994656529562653,1.1110267542952632,Top Customer,2
CUST_P9K9F2,PROD_CVVCB0,TRANS_X0MXCI,16,128.43,Clothing,38,Europe,0.94,7031.07,2022-03-15,2023-09-06,Summer,Afternoon,Email Campaign,117,-0.6297983761748286,1.0938062048703008,0.6977124430585594,At Risk,2
CUST_EMHZQV,PROD_PVOV5L,TRANS_9B8B46,10,67.52,Electronics,56,Asia,0.56,5167.16,2021-02-17,2023-06-12,Summer,Afternoon,Discount,203,0.18303128091127296,0.008016745508289477,0.04719593666874264,At Risk,1
CUST_8E2Q1K,PROD_MG36BV,TRANS_AZ1OW8,7,165.26,Electronics,73,Europe,0.17,9943.51,2021-03-28,2023-02-05,Winter,Evening,Loyalty Program,330,1.3833727512593532,-0.5348779841727161,1.714172622933102,At Risk,1
CUST_4VB1T5,PROD_DKK6UZ,TRANS_AC3353,6,52.86,Home,60,North America,0.59,9978.11,2021-08-16,2023-10-06,Winter,Evening,Loyalty Program,87,-0.9133436053909105,-0.7158428940663847,1.726248244138572,Top Customer,1
CUST_67Z31H,PROD_ALVKE7,TRANS_IH0DSW,8,138.72,Electronics,88,Europe,0.45,2758.76,2020-03-22,2023-08-05,Fall,Morning,Loyalty Program,149,-0.3273501316776745,-0.3539130742790476,-0.7933510607663452,Other,0
CUST_FX276G,PROD_K192VJ,TRANS_HEH3CY,13,54.53,Electronics,53,Asia,0.73,9395.6,2021-07-29,2023-12-26,Fall,Morning,Email Campaign,6,-1.6789157242743318,0.5509114751892951,1.5229485300230128,Top Customer,2
CUST_H605W3,PROD_2Y2RID,TRANS_6G3IVM,5,172.68,Electronics,23,Europe,0.86,6589.81,2021-08-05,2023-04-11,Spring,Afternoon,Email Campaign,265,0.7690247546245089,-0.8968078039600532,0.5437098819855622,At Risk,1
CUST_7KEA4I,PROD_M35YA3,TRANS_QHURYI,18,30.56,Clothing,83,North America,0.55,1005.72,2021-05-15,2023-11-28,Summer,Morning,Loyalty Program,34,-1.4142735103393218,1.4557360246576379,-1.4051732283396747,At Risk,2
CUST_7I11M9,PROD_ELE4RZ,TRANS_W2RL1O,18,95.85,Electronics,13,Asia,0.34,6299.37,2020-08-05,2023-08-06,Spring,Morning,Discount,148,-0.33680163931821056,1.4557360246576379,0.4423444651382581,Other,2
CUST_WQB3QG,PROD_IBLABI,TRANS_Y8I3QE,10,108.6,Home,7,Europe,0.89,7317.6,2021-02-13,2023-10-25,Summer,Morning,Loyalty Program,68,-1.0929222505610958,0.008016745508289477,0.7977132449083669,At Risk,2
CUST_EF8557,PROD_P2DMGE,TRANS_29D2I2,10,139.31,Sports,78,Asia,0.78,6578.3,2022-02-05,2023-11-29,Winter,Evening,Email Campaign,33,-1.423725017979858,0.008016745508289477,0.5396928183995807,At Risk,2
CUST_792ZPI,PROD_JLOC27,TRANS_X42QD9,3,141.64,Home,24,North America,0.2,5902.92,2020-06-04,2023-04-15,Spring,Evening,Email Campaign,261,0.7312187240623647,-1.2587376237473902,0.30398088054552413,Not Regular,1
CUST_CNYAZK,PROD_2EQ5LO,TRANS_T73AG3,18,39.17,Clothing,63,North America,0.69,5264.38,2022-01-09,2023-10-15,Fall,Evening,Loyalty Program,78,-0.9984071741557351,1.4557360246576379,0.08112633821775421,At Risk,2
CUST_45L1B8,PROD_XFBU9X,TRANS_S38KSO,18,139.37,Sports,69,South America,0.42,9127.85,2022-03-30,2023-07-08,Winter,Evening,Loyalty Program,177,-0.06270791774266471,1.4557360246576379,1.4295020682379085,Top Customer,1
CUST_99ZA53,PROD_2E3MNX,TRANS_O6PCG7,17,105.73,Sports,36,North America,0.66,194.59,2020-04-27,2023-03-16,Spring,Afternoon,Email Campaign,291,1.0147639532784467,1.2747711147639693,-1.688262784073574,At Risk,0
CUST_NWGN1Z,PROD_R1Y19O,TRANS_38FJVY,14,93.03,Sports,53,North America,0.78,3845.95,2021-03-12,2023-05-23,Summer,Evening,Email Campaign,223,0.37206143372199424,0.7318763850829636,-0.41391480011966986,At Risk,0
CUST_EA95KF,PROD_R6QGPV,TRANS_XB0SUN,16,166.36,Home,83,Asia,0.88,5125.94,2021-03-05,2023-02-07,Winter,Morning,Email Campaign,328,1.364469735978281,1.0938062048703008,0.032809893140145,At Risk,1
CUST_5RUZ9U,PROD_KCO2XQ,TRANS_N2ZWKU,11,106.34,Home,41,North America,0.17,627.2,2020-03-20,2023-11-04,Winter,Evening,Loyalty Program,58,-1.1874373269664564,0.18898165540195802,-1.5372791283019442,Other,2
CUST_T95LCL,PROD_V9G363,TRANS_19AA2Z,19,58.13,Home,39,Europe,0.83,1794.11,2020-04-11,2023-09-27,Summer,Evening,Discount,96,-0.828280036626086,1.6367009345513064,-1.1300200779876366,At Risk,2
CUST_MD1TF0,PROD_VWJAW6,TRANS_5QZIZO,9,100.65,Electronics,29,North America,0.82,9709.29,2021-07-11,2023-08-03,Fall,Evening,Email Campaign,151,-0.3084471163966024,-0.17294816438537905,1.6324283455127209,Top Customer,1
